Country,Respondent
Afghanistan,2
Albania,12
Algeria,3
Argentina,71
Armenia,12
Australia,285
Austria,88
Azerbaijan,5
Bahrain,3
Bangladesh,57
Belarus,24
Belgium,87
Bolivia,4
Bosnia and Herzegovina,10
Brazil,325
Brunei Darussalam,1
Bulgaria,77
Burundi,2
Cambodia,1
Cameroon,4
Canada,432
Cape Verde,1
Chile,21
China,69
Colombia,50
"Congo, Republic of the...",2
Costa Rica,15
Croatia,31
Cuba,4
Cyprus,7
Czech Republic,72
Côte d'Ivoire,5
Denmark,82
Dominican Republic,16
Ecuador,11
Egypt,37
El Salvador,8
Estonia,27
Ethiopia,4
Finland,71
France,339
Georgia,9
Germany,708
Ghana,5
Greece,74
Guatemala,13
Honduras,5
Hong Kong (S.A.R.),34
Hungary,64
Iceland,6
India,897
Indonesia,36
Iran,83
Iraq,1
Ireland,67
Israel,102
Italy,188
Jamaica,1
Japan,50
Jordan,7
Kenya,20
Kuwait,2
Kyrgyzstan,4
Latvia,19
Lebanon,12
Libyan Arab Jamahiriya,1
Liechtenstein,1
Lithuania,35
Luxembourg,11
Malaysia,42
Malta,8
Mauritius,2
Mexico,98
Monaco,1
Mongolia,2
Montenegro,2
Morocco,8
Mozambique,1
Myanmar,3
Nepal,15
Netherlands,254
New Zealand,73
Nicaragua,3
Nigeria,42
Norway,84
Other Country (Not Listed Above),18
Pakistan,93
Panama,2
Paraguay,4
Peru,12
Philippines,36
Poland,205
Portugal,69
Qatar,1
Republic of Korea,1
Republic of Moldova,10
Romania,95
Russian Federation,208
Rwanda,1
Saudi Arabia,12
Senegal,2
Serbia,53
Singapore,33
Slovakia,28
Slovenia,35
Somalia,1
South Africa,102
South Korea,15
Spain,251
Sri Lanka,40
Sudan,2
Swaziland,3
Sweden,162
Switzerland,148
Syrian Arab Republic,3
Taiwan,23
Thailand,19
The former Yugoslav Republic of Macedonia,7
Timor-Leste,1
Togo,1
Tunisia,9
Turkey,96
Turkmenistan,1
Uganda,6
Ukraine,108
United Arab Emirates,19
United Kingdom,821
United Republic of Tanzania,2
United States,3127
Uruguay,16
Uzbekistan,2
"Venezuela, Bolivarian Republic of...",7
Viet Nam,12
Yemen,1
Zimbabwe,5
